cited_articletitle,cited_year,cited_journal,citing_articletitle,citing_year,citing_journal
Cytokine storm and sepsis disease pathogenesis,2017,Semin. Immunopathol,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Clinical features of patients infected with 2019 novel coronavirus in,2020,,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Induction of pro-inflammatory cytokines (IL-1 and IL-6) and lung inflammation by Coronavirus-19 (COVI-19 or SARS-CoV-2): anti-inflammatory strategies,2020,J. Biol. Regul. Homeost. Agents,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
"Clinical predictors of mortality due to COVID-19 based on an analysis of data of 150 patients from Wuhan, China",2020,Intensive Care Med,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",2020,The Lancet,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
"Risk factors associated with acute respiratory distress syndrome and death in patients with coronavirus disease 2019 pneumonia in Wuhan, China",2020,JAMA Intern. Med,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
"Characteristics of lymphocyte subsets and cytokines in peripheral blood of 123 hospitalized patients with 2019 novel coronavirus pneumonia (NCP), medRxiv",2020,,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Pathological findings of COVID-19 associated with acute respiratory distress syndrome,2020,The Lancet Respiratory Medicine,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
"National Health Commission of the People's Republic of China, The Diagnosis and Treatment Plan for 2019-nCoV",2020,,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
"Dysregulation of immune response in patients with COVID-19 in Wuhan, China",2020,Clin. Infect. Dis,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
"A pathological report of three COVID-19 cases by minimally invasive autopsies, Chin",2020,J. Pathol,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
New fronts emerge in the influenza cytokine storm,2017,Semin. Immunopathol,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Cytokine release syndrome,2018,J. Immunother. Cancer,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Cross-species transmission of the newly identified coronavirus 2019-nCoV,2020,Journal of Medical Virology,Individual risk management strategy and potential therapeutic options for the COVID-19 pandemic,2020,Clinical Immunology
A Novel Coronavirus from Patients with Pneumonia in China,2019,The New England journal of medicine 2020,"Mortality of a pregnant patient diagnosed with COVID-19: A case report with clinical, radiological, and histopathological findings",2020,Travel Medicine and Infectious Disease
Positive RT-PCR Test Results in Patients Recovered From COVID-19,2020,JAMA,False negative rate of COVID-19 is eliminated by using nasal swab test,2020,Travel Medicine and Infectious Disease
Advances in the research of cytokine storm mechanism induced by Corona Virus Disease 2019 and the corresponding immunotherapies,2020,Zhonghua Shao Shang Za Zhi,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
COVID-19 in Latin America: The implications of the first confirmed case in Brazil,2020,Travel Medicine and Infectious Disease,What are the factors influencing the COVID-19 outbreak in Latin America?,2020,Travel Medicine and Infectious Disease
Clinical Characteristics of Coronavirus Disease 2019 in China,,N Engl J Med,False negative rate of COVID-19 is eliminated by using nasal swab test,2020,Travel Medicine and Infectious Disease
COVID-19 Illness in Native and Immunosuppressed States: A Clinical-Therapeutic Staging Proposal,2020,The Journal of Heart and Lung Transplantation,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan,,,False negative rate of COVID-19 is eliminated by using nasal swab test,2020,Travel Medicine and Infectious Disease
SARS-CoV-2 Viral Load in Upper Respiratory Specimens of Infected Patients,2020,New England Journal of Medicine,False negative rate of COVID-19 is eliminated by using nasal swab test,2020,Travel Medicine and Infectious Disease
The use of corticosteroid as treatment in SARS was associated with adverse outcomes: a retrospective cohort study,2005,J. Inf. Secur,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
High-dose pulse versus nonpulse corticosteroid regimens in severe acute respiratory syndrome,2003,Am. J. Respir. Crit. Care Med,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Corticosteroid treatment of severe acute respiratory syndrome in Hong Kong,2007,J. Inf. Secur,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Treatment of severe acute respiratory syndrome with glucosteroids: the Guangzhou experience,2020,Clinical Immunology,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Surviving sepsis campaign: international guidelines for management of sepsis and septic shock,2016,Intensive Care Med,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Understanding of COVID-19 based on current evidence,2020,J. Med. Virol,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
"COVID-19: an update on the epidemiological, clinical, preventive and therapeutic evidence and guidelines of integrative Chinese-Western medicine for the management of 2019 novel coronavirus disease",2020,Am. J. Chin. Med,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Clinical evidence does not support corticosteroid treatment for 2019-nCoV lung injury,2020,Lancet Lond Engl,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Baricitinib as potential treatment for 2019-nCoV acute respiratory disease,2020,Lancet,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Preventing HIV infection without targeting the virus: how reducing HIV target cells at the genital tract is a new approach to HIV prevention,2017,AIDS Res. Ther,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Hydroxychloroquine inhibits Zika virus NS2B-NS3 protease,2018,,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
Hydroxychloroquine-inhibited dengue virus is associated with host defense machinery,2015,J. Interf. Cytokine Res,The use of anti-inflammatory drugs in the treatment of people with severe coronavirus disease 2019 (COVID-19): The Perspectives of clinical immunologists from China,2020,Clinical Immunology
